P,C,system:index,province,city,lat,lon,region,Urban Agglomerations,i,t,Year,Vit
913011,3220387,00000000000000000000,Anhui,Anqing,30.61038799,116.5934926,central,Yangtze River Delta,35,1,2014,
913011,3262334,00000000000000000001,Anhui,Bengbu,33.11191905,117.3271854,central,Yangtze River Delta,30,1,2014,
913011,3245950,00000000000000000002,Anhui,Bozhou,33.43282595,116.1817954,central,Yangtze River Delta,41,1,2014,
,,00000000000000000003,Anhui,Chaohu,31.46358866,117.7808491,central,Yangtze River Delta,,,,
913011,3164669,00000000000000000004,Anhui,Chizhou,30.28335525,117.3655722,central,Yangtze River Delta,42,1,2014,
913011,3231588,00000000000000000005,Anhui,Chuzhou,32.54495045,118.0977511,central,Yangtze River Delta,37,1,2014,
913011,3246004,00000000000000000006,Anhui,Fuyang,32.9160538,115.7013316,central,Yangtze River Delta,38,1,2014,
913011,3288965,00000000000000000007,Anhui,Hefei,31.99304716,117.2442392,central,Yangtze River Delta,28,1,2014,
913011,3231910,00000000000000000008,Anhui,Huaibei,33.72101362,116.7371306,central,Yangtze River Delta,33,1,2014,
913011,3262360,00000000000000000009,Anhui,Huainan,32.75693014,116.7328618,central,Yangtze River Delta,31,1,2014,
913011,2992498,0000000000000000000a,Anhui,Huangshan,29.90610673,118.0764631,central,Yangtze River Delta,36,1,2014,
913011,3243393,0000000000000000000b,Anhui,Lu'an,31.75588767,116.3116302,central,Yangtze River Delta,40,1,2014,
913011,3260816,0000000000000000000c,Anhui,Ma'anshan,31.53240138,118.6136804,central,Yangtze River Delta,32,1,2014,
913011,3231858,0000000000000000000d,Anhui,Suzhou,33.86040753,117.2111742,central,Yangtze River Delta,39,1,2014,
913011,3077734,0000000000000000000e,Anhui,Tongling,30.94485609,117.894334,central,Yangtze River Delta,34,1,2014,
913011,3262036,0000000000000000000f,Anhui,Wuhu,31.06666344,118.3265017,central,Yangtze River Delta,29,1,2014,
913011,3222248,00000000000000000010,Anhui,Xuancheng,30.69057975,118.8555136,central,Yangtze River Delta,43,1,2014,
912940,912940,00000000000000000011,Beijing,Beijing,40.1838367,116.4087826,eastern,Beijing-Tianjin-Hebei,1,1,2014,1.297
913069,913069,00000000000000000012,Chongqing,Chongqing,30.05513327,107.8644886,western,Chengdu-Chongqing,141,1,2014,-0.0131
911844,3244431,0000000000000000002a,Guangdong,Chaozhou,23.78344177,116.7806237,eastern,Pearl River Delta,115,1,2014,-0.3285
911844,3464319,0000000000000000002b,Guangdong,Dongguan,22.93543934,113.8763949,eastern,Pearl River Delta,107,1,2014,-0.3285
911844,3464719,0000000000000000002c,Guangdong,Foshan,23.01274901,112.9449811,eastern,Pearl River Delta,101,1,2014,-0.3285
911844,3287346,0000000000000000002d,Guangdong,Guangzhou,23.35374915,113.5356929,eastern,Pearl River Delta,97,1,2014,-0.3285
911844,3241970,0000000000000000002e,Guangdong,Heyuan,24.04188952,114.9572714,eastern,Pearl River Delta,103,1,2014,-0.3285
911844,3209912,0000000000000000002f,Guangdong,Huizhou,23.24482806,114.4975179,eastern,Pearl River Delta,105,1,2014,-0.3285
911844,3463901,00000000000000000030,Guangdong,Jiangmen,22.28013419,112.670293,eastern,Pearl River Delta,109,1,2014,-0.3285
911844,3282749,00000000000000000031,Guangdong,Jieyang,23.33752687,116.1165676,eastern,Pearl River Delta,116,1,2014,-0.3285
911844,2689018,00000000000000000032,Guangdong,Maoming,22.01491994,110.9526167,eastern,Pearl River Delta,112,1,2014,-0.3285
911844,3233743,00000000000000000033,Guangdong,Meizhou,24.20156643,116.0780934,eastern,Pearl River Delta,104,1,2014,-0.3285
911844,3124223,00000000000000000034,Guangdong,Qingyuan,24.31181506,112.8753369,eastern,Pearl River Delta,114,1,2014,-0.3285
911844,3282750,00000000000000000035,Guangdong,Shantou,23.33056027,116.5554469,eastern,Pearl River Delta,100,1,2014,-0.3285
911844,3282610,00000000000000000036,Guangdong,Shanwei,23.01527198,115.5316263,eastern,Pearl River Delta,106,1,2014,-0.3285
911844,3203994,00000000000000000037,Guangdong,Shaoguan,24.81761864,113.7722808,eastern,Pearl River Delta,102,1,2014,-0.3285
911844,3464353,00000000000000000038,Guangdong,Shenzhen,22.65480914,114.1352706,eastern,Pearl River Delta,98,1,2014,-0.3285
911844,3032037,00000000000000000039,Guangdong,Yangjiang,22.03765731,111.7742904,eastern,Pearl River Delta,110,1,2014,-0.3285
911844,3032080,0000000000000000003a,Guangdong,Yunfu,22.8158357,111.7960944,eastern,Pearl River Delta,117,1,2014,-0.3285
911844,3484419,0000000000000000003b,Guangdong,Zhanjiang,21.09313499,110.1642286,eastern,Pearl River Delta,111,1,2014,-0.3285
911844,3205802,0000000000000000003c,Guangdong,Zhaoqing,23.53975326,112.2023228,eastern,Pearl River Delta,113,1,2014,-0.3285
911844,3464878,0000000000000000003d,Guangdong,Zhongshan,22.52550016,113.3896709,eastern,Pearl River Delta,108,1,2014,-0.3285
911844,3464829,0000000000000000003e,Guangdong,Zhuhai,22.16988905,113.3579271,eastern,Pearl River Delta,99,1,2014,-0.3285
912998,3442995,00000000000000000059,Hebei,Baoding,39.02218031,115.1677069,eastern,Beijing-Tianjin-Hebei,8,1,2014,-0.2134
912998,3443418,0000000000000000005a,Hebei,Cangzhou,38.26586505,116.7517017,eastern,Beijing-Tianjin-Hebei,9,1,2014,-0.2134
912998,2989561,0000000000000000005b,Hebei,Chengde,41.34109856,117.5493644,eastern,Beijing-Tianjin-Hebei,3,1,2014,-0.2134
912998,3290701,0000000000000000005c,Hebei,Handan,36.55100307,114.5447662,eastern,Beijing-Tianjin-Hebei,13,1,2014,-0.2134
912998,3443419,0000000000000000005d,Hebei,Hengshui,37.7601365,115.823772,eastern,Beijing-Tianjin-Hebei,11,1,2014,-0.2134
912998,2989329,0000000000000000005e,Hebei,Langfang,39.25684534,116.6263213,eastern,Beijing-Tianjin-Hebei,7,1,2014,-0.2134
912998,2989562,0000000000000000005f,Hebei,Qinhuangdao,40.08852131,119.1836849,eastern,Beijing-Tianjin-Hebei,5,1,2014,-0.2134
912998,3009732,00000000000000000060,Hebei,Shijiazhuang,38.12912757,114.442294,eastern,Beijing-Tianjin-Hebei,10,1,2014,-0.2134
912998,2989001,00000000000000000061,Hebei,Tangshan,39.73578011,118.3402669,eastern,Beijing-Tianjin-Hebei,6,1,2014,-0.2134
912998,3290707,00000000000000000062,Hebei,Xingtai,37.2116919,114.8183727,eastern,Beijing-Tianjin-Hebei,12,1,2014,-0.2134
912998,3295555,00000000000000000063,Hebei,Zhangjiakou,40.86102801,115.0293284,eastern,Beijing-Tianjin-Hebei,4,1,2014,-0.2134
913106,2984075,00000000000000000095,Hubei,Enshi Tujia and Miao,30.19091367,109.5468058,central,Middle Yangtze River,67,1,2014,
913106,3086618,00000000000000000096,Hubei,Ezhou,30.36788085,114.7798158,central,Middle Yangtze River,60,1,2014,
913106,3144169,00000000000000000097,Hubei,Huanggang,30.71888594,115.3485389,central,Middle Yangtze River,64,1,2014,
